Questions,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,,
"If you could have a supernatural ability, which of thse would you choose?",Telekinesis,Invisibility,Shapeshifting,Time Travel,Teleportation,Flight,Elemental Manipulation,Clairvoyance,,
"You're a character in a fairy tale, which enchanted object would you possess?",Flying carpet,Wand,Cloak of invisibility,Healing potion,Magic Lamp,Never-ending bag,Teleporting cupboard,Time-turner,,
Which every day object would you want to enchant?,Watch,Mirror,,,,,,,,
"If you would live in a fantasy world, which landscape would you want to call home?",Enchanted Forest,Floating Island,Underwater Kingdom,Volcanic Wasteland,Cloud City,Desert Oasis,Crystal Caverns,Celestial Realm,,
Which of these animals would you rather wish to have control over?,,,,,,,,,,
"If you could have a superpower to help with daily tasks, what would you pick?",Time manipulation,Multitasking mastery,Super speed,Perfect Memory,Cloning ability,Teleportation,,,,
Which element is crucial for your ideal workspace?,Natural light,Lush plants,Organizational compartments,Comfortable Chair,Relaxing Background Music,,,,,
"If you had to pick a non-so-optimal trait for a specfic profession, which would you rather be?",A blind detective,,,,,,,,,
"If you could master any skill overnight, which would you choose?",Speak mutiple languages fluently,Play a musical instrument like a virtuoso,Develop expert-level skill in a sport,Excel in public speaking and charisma,Become a tech wiz great at coding,Become a gourmet chef capable of multiple cuisines,,,,
"You have to make one bodily sacrifice, which would you rather lose?",All fingers,Both hands,Both feet,Tongue,Eyes,Nose,,,,
"If you could travel to any era for a day, where would you go?","Ancient Egypt, during the construction of the Pyramids","The Roaring Twenties, the era of flappers and jazz",Ancient Rome,,,,,,,
What would be a fun night out for you?,,,,,,,,,,
"If you had to help them, which of these people would you choose?",Hitler,Stalin,Putin,Trump,Tito,Genghis Khan,Jeffrey Epstein,Lawrences Mom,,
"If you had to bring someone back from the dead, which would you choose?",,,,,,,,,,
What movie franchise do you think should be revived?,,,,,,,,,,
When would you most like your bday to be,Christmas,NYE,4th of July,Halloween,Thanksgiving (imagine it doesnt change hahaha),Anytime during the Summer,,,,
Which of these foods would you most like to try,,,,,,,,,,
Which actor would you trust with your drink in the club (or your girls'),Steve Carell,Keanu Reeves,Samuel L. Jackson,Hugh Jackson,Ryan Reynolds,Danny Devito,Owen Wilson,,,
Which actor would you most want in your friend group,Steve Carell,Keanu Reeves,Samuel L. Jackson,Hugh Jackson,Ryan Reynolds,Danny Devito,Owen Wilson,,,
Rate these months of the year,December,July,June,October,May,November,August,April,,
What was the saddest movie death?,Mufasa,Bambi's mom,Tony Stark,Jack Dawson (Titanic),Han Solo,Fred Weasley,Ellie (Up),Rue (Hunger Games),Augustus Waters (The Fault In Our Stars),Wilson (Castaway)
Which of these people would you choose as your best friend?,Jesus ❤️,Martin Luther King Jr,Albert Einstein,Mahatma Gandhi,Mr Beast,,,,,
Which house chore would u want to never have to do again?,Ironing the clothes,Washing the dishes,Cleaning the windows,,,,,,,
Choose the only game you can play for the rest of your life,Tetris,Sudoku,Chess,,,,,,,
Which of these generally deemed as unwanted jobs would you most like to do,Lead sewage plant worker,Plumber,Mortician,Slaughterhouse Worker,Coal Miner,,,,,
"If you could choose any of these vacation homes to get for free, which would you choose?",Seaside villa,Cabin in the woods,Planinarska kuca,,,,,,,